customers,dynamism,strategy,metric,mean,sd,se,ci95_low,ci95_high,n
50,0.1,greedy_insertion,total_distance,1195.7381281682196,56.752983960029525,25.380706012116242,1145.9919443844717,1245.4843119519676,5
50,0.1,greedy_insertion,mean_response_time_ms,0.8372224000049755,0.04838567207854954,0.02163873038093006,0.7948104884583526,0.8796343115515984,5
50,0.1,greedy_insertion,route_disruption,100.0,0.0,0.0,100.0,100.0,5
50,0.1,greedy_insertion,compute_time_s,0.050909159998991524,0.003399749257570453,0.0015204140892763948,0.04792914838400979,0.05388917161397326,5
50,0.1,greedy_insertion,evaluations,659.0,28.50438562747845,12.74754878398196,634.0148043833954,683.9851956166046,5
50,0.1,insertion_2opt_star,total_distance,969.209344309476,61.39703665648754,27.45758951619051,915.3924688577426,1023.0262197612094,5
50,0.1,insertion_2opt_star,mean_response_time_ms,3.929005599406082,0.2877946320500405,0.12870567216468604,3.6767424819632977,4.181268716848867,5
50,0.1,insertion_2opt_star,route_disruption,523.4,128.93331609789612,57.66073187187273,410.3849655311294,636.4150344688705,5
50,0.1,insertion_2opt_star,compute_time_s,0.2064820600033272,0.01417886437860138,0.0063409809188606,0.19405373740236043,0.21891038260429396,5
50,0.1,insertion_2opt_star,evaluations,12817.0,431.1241120605527,192.80456426132653,12439.1030540478,13194.8969459522,5
50,0.1,tabu_search,total_distance,397.6924653468804,45.57788332362792,20.383049076437214,357.74168915706343,437.64324153669736,5
50,0.1,tabu_search,mean_response_time_ms,0.9836491998867132,0.08496768611704132,0.03799870440971391,0.9091717392436739,1.0581266605297523,5
50,0.1,tabu_search,route_disruption,26.0,0.0,0.0,26.0,26.0,5
50,0.1,tabu_search,compute_time_s,0.05721500000217929,0.004986266785299622,0.0022299262971758604,0.05284434445971461,0.06158565554464398,5
50,0.1,tabu_search,evaluations,500.0,0.0,0.0,500.0,500.0,5
50,0.2,greedy_insertion,total_distance,1206.3767834119913,46.99290584577718,21.015866386281004,1165.1856852948804,1247.5678815291021,5
50,0.2,greedy_insertion,mean_response_time_ms,0.8197200003778562,0.11679303208940302,0.05223143181004389,0.7173463940301702,0.9220936067255422,5
50,0.2,greedy_insertion,route_disruption,100.0,0.0,0.0,100.0,100.0,5
50,0.2,greedy_insertion,compute_time_s,0.05035965999995824,0.007293363820441376,0.0032616914574288974,0.0439667447433976,0.05675257525651888,5
50,0.2,greedy_insertion,evaluations,666.6,44.96998999332777,20.11119091451324,627.1820658075541,706.017934192446,5
50,0.2,insertion_2opt_star,total_distance,1018.0541379016682,38.22854709737205,17.096325998155233,984.545338945284,1051.5629368580526,5
50,0.2,insertion_2opt_star,mean_response_time_ms,3.9819732001051307,0.3448123658791942,0.15420477791768145,3.679731835386475,4.284214564823786,5
